日期,累计确诊,累计死亡,累计治愈
2020.01.10,27,0,2
2020.01.11,41,1,6
2020.01.12,41,1,7
2020.01.13,41,1,7
2020.01.14,41,1,7
2020.01.15,41,2,12
2020.01.16,45,2,15
2020.01.17,62,2,19
2020.01.18,121,3,24
2020.01.19,198,4,25
2020.01.20,291,6,25
2020.01.21,440,9,25
2020.01.22,574,17,25
2020.01.23,835,25,34
2020.01.24,1297,41,38
2020.01.25,1985,56,49
2020.01.26,2761,80,51
2020.01.27,4535,106,60
2020.01.28,5997,132,103
2020.01.29,7736,170,124
2020.01.30,9720,213,171
2020.01.31,11821,259,243
2020.02.01,14411,304,328
2020.02.02,17238,361,475
2020.02.03,20471,425,632
2020.02.04,24363,491,892
2020.02.05,28060,564,1153
2020.02.06,31197,637,1542
2020.02.07,34594,723,2051
2020.02.08,37162,812,2651
2020.02.09,40222,909,3282
2020.02.10,42708,1017,3998
2020.02.11,44730,1114,4742
2020.02.12,58839,1260,5646
2020.02.13,63932,1381,6728
2020.02.14,66575,1524,8101
2020.02.15,68584,1666,9425
2020.02.16,70635,1772,10853
2020.02.17,72528,1870,12561
2020.02.18,74276,2006,14387
2020.02.19,75101,2121,16168
2020.02.20,75993,2239,18277
2020.02.21,76392,2348,20672
2020.02.22,76846,2445,22907
2020.02.23,77262,2595,24757
2020.02.24,77779,2666,27353
2020.02.25,78190,2718,29775
2020.02.26,78630,2747,32531
2020.02.27,78959,2791,36157
2020.02.28,79389,2838,39049
2020.02.29,79968,2873,41675
2020.03.01,80174,2915,44518
2020.03.02,80302,2946,47260
2020.03.03,80422,2984,49914
2020.03.04,80565,3015,52109
2020.03.05,80710,3045,53793
2020.03.06,80813,3073,55477
2020.03.07,80859,3100,57143
2020.03.08,80904,3123,58684
2020.03.09,80924,3140,59982
2020.03.10,80955,3162,61567
2020.03.11,80992,3173,62887
2020.03.12,81003,3180,64216
2020.03.13,81021,3194,65649
2020.03.14,81048,3204,67022
2020.03.15,81077,3218,67863
2020.03.16,81116,3231,68799
2020.03.17,81151,3242,69725
2020.03.18,81235,3250,70547
2020.03.19,81300,3253,71284
2020.03.20,81416,3261,71876
2020.03.21,81498,3267,72382
2020.03.22,81600,3276,72841
2020.03.23,81747,3283,73299
2020.03.24,81846,3287,73791
2020.03.25,81960,3293,74196
2020.03.26,82078,3298,74737
2020.03.27,82213,3301,75122
2020.03.28,82341,3306,75600
2020.03.29,82447,3311,75937
2020.03.30,82545,3314,76225
2020.03.31,82631,3321,76415
2020.04.01,82724,3327,76610
2020.04.02,82802,3331,76785
2020.04.03,82875,3335,76984
2020.04.04,82930,3338,77210
2020.04.05,83005,3340,77348
2020.04.06,83071,3340,77450
2020.04.07,83157,3342,77586
2020.04.08,83249,3344,77711
2020.04.09,83305,3345,77838
2020.04.10,83369,3349,77935
2020.04.11,83482,3349,78020
2020.04.12,83597,3351,78145
2020.04.13,83696,3351,78262
2020.04.14,83745,3352,78389
2020.04.15,83797,3352,78504
2020.04.16,84149,4642,77591
