日期,累计确诊,累计死亡,累计治愈
2020.03.06,1,0,0
2020.03.07,1,0,0
2020.03.08,1,0,0
2020.03.09,1,0,0
2020.03.10,1,0,0
2020.03.11,12,0,0
2020.03.12,19,0,0
2020.03.13,19,0,0
2020.03.14,31,0,0
2020.03.15,41,0,0
2020.03.16,41,0,0
2020.03.17,70,0,0
2020.03.18,85,0,0
2020.03.19,103,0,0
2020.03.20,135,1,0
2020.03.21,171,1,0
2020.03.22,222,2,0
2020.03.23,249,3,0
2020.03.24,310,4,0
2020.03.25,384,4,0
2020.03.26,457,6,0
2020.03.27,536,8,0
2020.03.28,659,10,0
2020.03.29,750,13,0
2020.03.30,835,16,0
2020.03.31,900,23,0
2020.04.01,1060,23,0
2020.04.02,1185,31,0
2020.04.03,1476,31,0
2020.04.04,1608,40,0
2020.04.05,1980,51,0
2020.04.06,2200,58,0
2020.04.07,2365,61,0
2020.04.08,2666,66,0
2020.04.09,2890,71,118
2020.04.10,3105,72,118
2020.04.11,3380,78,118
2020.04.12,3663,81,118
2020.04.13,4054,87,118
2020.04.14,4465,94,118
2020.04.15,4867,102,118
2020.04.16,5318,108,443
2020.04.17,5767,114,534
2020.04.18,6170,122,637
2020.04.19,6504,129,753
2020.04.20,6853,134,870
2020.04.21,7202,137,977
2020.04.22,7718,152,1153
2020.04.23,7906,158,1201
2020.04.24,8152,163,1253
2020.04.25,8482,170,1314
2020.04.26,8510,171,1314
2020.04.27,8805,177,1314
2020.04.28,9055,184,1314
2020.04.29,9287,190,1314
2020.04.30,9808,201,1592
2020.05.01,10011,207,1668
2020.05.02,10175,211,1715
2020.05.03,10287,215,1932
2020.05.04,10408,219,1955
2020.05.05,10408,220,1955
2020.05.06,10533,227,1971
2020.05.07,10533,227,1971
2020.05.08,10804,237,2453
2020.05.09,10894,241,2732
2020.05.10,10902,241,3659
2020.05.11,11060,246,3943
2020.05.12,11138,248,4257
2020.05.13,11204,251,4257
2020.05.14,11293,253,4755
2020.05.15,11382,254,4991
2020.05.16,11382,254,4991
2020.05.17,11565,259,5404
2020.05.18,11565,259,5404
2020.05.19,11688,263,5595
2020.05.20,11822,264,5836
2020.05.21,11822,264,5836
2020.05.22,11922,266,5836
2020.05.23,12117,267,5836
2020.05.24,12184,267,5857
2020.05.25,12191,267,5857
2020.05.26,12265,269,6858
2020.05.27,12322,270,6858
2020.05.28,12348,271,6858
2020.05.29,12402,272,7055
2020.05.30,12445,272,7055
2020.05.31,12476,273,7527
2020.06.01,12476,273,7527
2020.06.02,12497,274,7527
2020.06.03,12534,275,7527
2020.06.04,12713,276,7781
2020.06.05,12713,276,7781
2020.06.06,12883,278,11927
2020.06.07,12892,278,11927
2020.06.08,13130,281,11927
2020.06.09,13228,281,12260
2020.06.10,13300,282,12260
2020.06.11,13400,283,12260
2020.06.12,13428,283,12260
2020.06.13,13577,284,12260
2020.06.14,13688,285,12260
2020.06.15,13853,288,12260
2020.06.16,14041,289,12311
2020.06.17,14041,290,12311
2020.06.18,14449,292,12316
2020.06.19,14489,292,12316
2020.06.20,14801,294,12316
2020.06.21,14833,294,12316
2020.06.22,15159,299,12395
2020.06.23,15308,300,12395
2020.06.24,15503,300,12395
2020.06.25,15735,304,12395
2020.06.26,15997,306,12395
2020.06.27,16286,314,12395
2020.06.28,16339,314,12395
2020.06.29,16680,314,12395
2020.06.30,17044,314,12395
2020.07.01,17714,332,12395
2020.07.02,17784,332,12395
2020.07.03,18568,353,14165
2020.07.04,18639,361,14165
2020.07.05,19487,377,14338
2020.07.06,19928,392,14338
2020.07.07,20422,409,14338
2020.07.08,20962,423,14338
2020.07.09,21133,423,14338
2020.07.10,21606,436,14338
2020.07.11,22197,457,14338
2020.07.12,22745,473,14338
2020.07.13,23248,485,14338
2020.07.14,24101,526,14338
2020.07.15,24456,537,14338
2020.07.16,24528,537,14338
2020.07.17,25478,570,14338
2020.07.18,25961,585,14338
2020.07.19,26072,585,14338
2020.07.20,26988,617,14338
2020.07.21,27650,635,14338
2020.07.22,28317,749,14338
2020.07.23,28910,666,14338
2020.07.24,29532,682,14338
2020.07.25,29943,690,14338
2020.07.26,30647,703,14338
2020.07.27,31554,728,21039
2020.07.28,32172,743,21039
2020.07.29,32738,754,21039
2020.07.30,33317,777,21039
2020.07.31,33882,800,25252
2020.08.01,33986,800,25252
2020.08.02,34972,839,25252
2020.08.03,35500,839,25252
2020.08.04,36012,874,25252
2020.08.05,36525,898,25252
2020.08.06,37020,921,25252
2020.08.07,37020,921,25252
2020.08.08,37922,947,25252
2020.08.09,38346,968,25252
2020.08.10,38681,987,27779
2020.08.11,39087,1006,27779
2020.08.12,39546,1023,27779
2020.08.13,39986,1034,27779
2020.08.14,40363,1046,27779
2020.08.15,51407,1407,27779
2020.08.16,51407,1407,27779
2020.08.17,41327,1087,29642
2020.08.18,41576,1097,29861
2020.08.19,41896,1109,29861
2020.08.20,42215,1127,29861
2020.08.21,42546,1140,29861
2020.08.22,42885,1152,29861
2020.08.23,42885,1152,29861
2020.08.24,43261,1181,29861
2020.08.25,43683,1193,29861
2020.08.26,43683,1193,29861
2020.08.27,44080,1205,29861
2020.08.28,44307,1207,31538
2020.08.29,44497,1218,31538
2020.08.30,44699,1227,31538
2020.08.31,44860,1238,31894
2020.09.01,44860,1238,31894
2020.09.02,45040,1238,31894
2020.09.03,45040,1238,31894
2020.09.04,45424,1256,31894
2020.09.05,45424,1256,31894
2020.09.06,45424,1256,31894
2020.09.07,45424,1256,31894
2020.09.08,46102,1283,31894
2020.09.09,46102,1283,31894
2020.09.10,46412,1292,31894
2020.09.11,46412,1292,31894
2020.09.12,46412,1292,31894
2020.09.13,46823,1310,31894
2020.09.14,46823,1310,31894
2020.09.15,46823,1310,31894
2020.09.16,46823,1310,31894
2020.09.17,46823,1310,31894
2020.09.18,47534,1335,31894
2020.09.19,47653,1340,31894
2020.09.20,47799,1344,31894
2020.09.21,47928,1344,31894
2020.09.22,47928,1344,31894
2020.09.23,48164,1348,31894
2020.09.24,48164,1348,31894
2020.09.25,48164,1348,31894
2020.09.26,48164,1348,31894
2020.09.27,48164,1348,31894
2020.09.28,48164,1348,31894
2020.09.29,48891,1363,31894
2020.09.30,49010,1364,31894
2020.10.01,49128,1364,31894
2020.10.02,49282,1367,31894
2020.10.03,49397,1368,31894
2020.10.04,49557,1373,31894
2020.10.05,49672,1374,31894
2020.10.06,49764,1378,31894
2020.10.07,49918,1382,31894
2020.10.08,50088,1386,31894
2020.10.09,50272,1388,31894
2020.10.10,50524,1392,31894
2020.10.11,50772,1397,31894
2020.10.12,50923,1400,31894
2020.10.13,51058,1403,31894
2020.10.14,51308,1406,31894
2020.10.16,51913,1410,31894
2020.10.17,52282,1414,31894
2020.10.18,52657,1416,31894
2020.10.19,53051,1429,31894
2020.10.20,53747,1437,31894
2020.10.21,53747,1437,31894
2020.10.22,54958,1440,31894
2020.10.23,54958,1440,31894
2020.10.24,55706,1445,31894
2020.10.25,56586,1448,31894
2020.10.26,57975,1459,31894
2020.10.27,59225,1467,31894
2020.10.28,60834,1476,31894
2020.10.29,62502,1483,31894
2020.10.30,64465,1492,31894
2020.10.31,66796,1501,31894
2020.11.01,66796,1501,31894
2020.11.02,68582,1514,31894
2020.11.03,71738,1541,31894
2020.11.04,72039,1541,31894
2020.11.05,74997,1554,31894
2020.11.06,80892,1603,31894
2020.11.07,83569,1612,31894
2020.11.08,86172,1634,31894
2020.11.09,88857,1669,31894
2020.11.10,88857,1669,31894
2020.11.11,95216,1704,31894
2020.11.12,99886,1727,31894
2020.11.13,100610,1730,31894
2020.11.14,105115,1769,31894
2020.11.15,113685,1831,31894
2020.11.16,117186,1863,31894
2020.11.17,122180,1887,31894
2020.11.18,129203,1941,31894
2020.11.19,136119,1984,31894
2020.11.20,143228,2025,31894
2020.11.21,143228,2025,31894
2020.11.22,155415,2113,31894
2020.11.23,161127,2163,31894
2020.11.24,161127,2163,31894
2020.11.25,168578,2200,31894
2020.11.26,176861,2250,31894
2020.11.27,185242,2329,31894
2020.11.28,193786,2398,31894
2020.11.29,201466,2473,31894
2020.11.30,208271,2554,31894
2020.12.01,208271,2554,31894
2020.12.02,223554,2678,31894
2020.12.03,231473,2730,31894
2020.12.04,240457,2827,31894
2020.12.05,248718,2907,31894
2020.12.06,256180,2978,31894
2020.12.07,256180,2978,31894
2020.12.08,269533,3125,31894
2020.12.09,234027,2062,31894
2020.12.10,286273,3264,31894
2020.12.11,294228,3333,31894
2020.12.12,301352,3401,32497
2020.12.13,307555,3461,33063
2020.12.14,313012,3529,33599
2020.12.15,318273,3583,34154
2020.12.16,324451,3653,34636
2020.12.17,330100,3707,34955
2020.12.18,335229,3754,34955
2020.12.19,340977,3820,35789
2020.12.20,344865,3872,35789
2020.12.21,348967,3942,36567
2020.12.22,352652,3989,36567
2020.12.23,356996,4044,36772
2020.12.24,361422,4095,36772
2020.12.25,366210,4172,38117
2020.12.26,370033,4221,38117
2020.12.27,373772,4288,39133
2020.12.28,376465,4335,39133
2020.12.29,379024,4378,39133
2020.12.30,382160,4424,39133
2020.12.31,385396,4468,39133
2021.01.01,388328,4516,39133
2021.01.02,390402,4555,39133
2021.01.03,393635,4628,42214
2021.01.04,395601,4665,42214
2021.01.05,398316,4704,42214
2021.01.06,400969,4745,42214
2021.01.07,403851,4784,42214
2021.01.08,406850,4842,44437
2021.01.09,409068,4876,44437
2021.01.10,411158,4916,45001
2021.01.11,412953,4950,45001
2021.01.12,415046,4978,45001
2021.01.13,417906,5022,46649
2021.01.14,420173,5047,46649
2021.01.15,422054,5070,46649
2021.01.16,424662,5100,48047
2021.01.17,426714,5135,48989
2021.01.18,428384,5160,49270
2021.01.19,429962,5181,49270
2021.01.20,431917,5202,49433
2021.01.21,433563,5221,49433
2021.01.22,436121,5263,50185
2021.01.23,437830,5282,50185
2021.01.24,439602,5315,50488
2021.01.25,441299,5336,50730
2021.01.26,442822,5355,50730
2021.01.27,445605,5390,51082
2021.01.28,447444,5410,51082
2021.01.29,449036,5431,51082
2021.01.30,450753,5449,51082
2021.01.31,453828,5492,52207
