日期,累计确诊,累计死亡,累计治愈
2020.01.23,1,0,0
2020.01.24,1,0,0
2020.01.25,2,0,0
2020.01.26,2,0,0
2020.01.27,5,0,0
2020.01.28,5,0,0
2020.01.29,5,0,0
2020.01.30,5,0,0
2020.01.31,6,0,0
2020.02.01,7,0,0
2020.02.02,8,0,0
2020.02.03,11,0,0
2020.02.04,11,0,0
2020.02.05,11,0,0
2020.02.06,12,0,0
2020.02.07,12,0,0
2020.02.08,12,0,0
2020.02.09,12,0,0
2020.02.10,12,0,0
2020.02.11,13,0,0
2020.02.12,13,0,0
2020.02.13,14,0,0
2020.02.14,15,0,0
2020.02.15,15,0,0
2020.02.16,15,0,0
2020.02.17,15,0,0
2020.02.18,15,0,0
2020.02.19,15,0,0
2020.02.20,15,0,0
2020.02.21,15,0,0
2020.02.22,35,0,0
2020.02.23,35,0,0
2020.02.24,35,0,0
2020.02.25,53,0,0
2020.02.26,53,0,0
2020.02.27,59,0,0
2020.02.28,59,0,0
2020.02.29,62,0,0
2020.03.01,62,0,0
2020.03.02,62,0,0
2020.03.03,64,2,0
2020.03.04,108,6,0
2020.03.05,129,9,0
2020.03.06,148,10,0
2020.03.07,213,11,0
2020.03.08,213,11,0
2020.03.09,213,11,0
2020.03.10,472,19,0
2020.03.11,696,25,0
2020.03.12,987,29,0
2020.03.13,1264,36,0
2020.03.14,2033,47,0
2020.03.15,2655,56,10
2020.03.16,3244,62,10
2020.03.17,4629,90,48
2020.03.18,6331,105,74
2020.03.19,13842,208,121
2020.03.20,19101,244,121
2020.03.21,25493,301,171
2020.03.22,33073,409,178
2020.03.23,43214,533,178
2020.03.24,53588,703,333
2020.03.25,65778,942,361
2020.03.26,83507,1201,680
2020.03.27,101657,1581,869
2020.03.28,121117,2010,991
2020.03.29,140886,2467,2665
2020.03.30,160020,2953,4865
2020.03.31,186265,3810,6910
2020.04.01,213372,4757,8434
2020.04.02,242182,5850,8991
2020.04.03,276995,7406,9772
2020.04.04,308850,8407,14652
2020.04.05,335524,9562,17266
2020.04.06,362759,10689,17582
2020.04.07,396223,12844,21849
2020.04.08,423135,14390,22539
2020.04.09,462135,16513,25410
2020.04.10,496535,18586,28790
2020.04.11,526396,20463,31270
2020.04.12,550016,21733,32314
2020.04.13,581679,23604,43738
2020.04.14,602989,25575,46515
2020.04.15,636350,28326,52096
2020.04.16,667225,32868,54378
2020.04.17,700282,36822,58587
2020.04.18,732197,38664,64840
2020.04.19,755533,40461,67172
2020.04.20,783290,41872,72015
2020.04.21,823257,44805,75179
2020.04.22,837947,46497,77340
2020.04.23,873137,49748,79938
2020.04.24,890524,51017,96677
2020.04.25,936293,53511,99792
2020.04.26,963379,54810,106946
2020.04.27,985443,56144,111109
2020.04.28,1011600,58343,115398
2020.04.29,1037526,60846,120433
2020.04.30,1067289,62870,125949
2020.05.01,1102703,64789,164015
2020.05.02,1127712,66075,175382
2020.05.03,1156924,67498,180152
2020.05.04,1178906,68689,187180
2020.05.05,1203673,71031,189791
2020.05.06,1223468,73039,189910
2020.05.07,1254740,75543,195036
2020.05.08,1283829,77178,198993
2020.05.09,1307676,78693,212534
2020.05.10,1328201,79508,216169
2020.05.11,1336163,80297,232733
2020.05.12,1369314,82340,230287
2020.05.13,1388936,83791,243430
2020.05.14,1416528,85807,246414
2020.05.15,1441172,87427,250747
2020.05.16,1465066,88675,261079
2020.05.17,1486375,89549,272265
2020.05.18,1506732,90236,283178
2020.05.19,1525367,91730,289392
2020.05.20,1549052,93214,294312
2020.05.21,1576886,94688,298418
2020.05.22,1600481,95921,350135
2020.05.23,1618948,96983,361239
2020.05.24,1641585,97686,366736
2020.05.25,1662375,98218,379157
2020.05.26,1680301,98875,384902
2020.05.27,1698581,100276,391508
2020.05.28,1719855,101562,399991
2020.05.29,1745606,102798,406446
2020.05.30,1769772,103768,416461
2020.05.31,1786593,104319,444758
2020.06.01,1808291,105003,458231
2020.06.02,1831730,106180,463868
2020.06.03,1850144,107099,479258
2020.06.04,1870156,108051,485002
2020.06.05,1894502,109000,491706
2020.06.06,1919430,109791,500849
2020.06.07,1938931,110481,506367
2020.06.08,1956527,110932,506367
2020.06.09,1973803,111751,518522
2020.06.10,1999313,112833,533504
2020.06.11,2018875,113700,538645
2020.06.12,2044572,114613,547386
2020.06.13,2069270,115270,556606
2020.06.14,2093448,115730,561816
2020.06.15,2113366,116135,576334
